date,scheme_code,scheme_name,nav
2013-02-24,100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,108.023
2013-02-24,100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),304.0176
2013-02-24,100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),311.3167
2013-02-24,100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,163.694
2013-02-24,100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,100.195
2013-02-24,100047,Aditya Birla Sun Life Liquid Fund - Growth,186.3113
2013-02-24,100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,108.1154
2013-02-24,100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,100.2704
2013-02-24,100190,ING Liquid Fund-Regular Growth Option,24.0058
2013-02-24,100191,ING Liquid Fund-Regular Weekly Dividend Option,10.837
2013-02-24,100192,ING Liquid Fund-Regular Daily Dividend Option,10.7873
2013-02-24,100196,ING Liquid Fund-Institutional Growth Option,18.0965
2013-02-24,100197,ING Liquid Fund-Institutional Weekly Dividend Option,10.0665
2013-02-24,100198,ING Liquid Fund-Institutional Daily Dividend Option,10.0121
2013-02-24,100199,ING Liquid Fund-Super Institutional Growth Option,17.3051
2013-02-24,100200,ING Liquid Fund-Super Institutional Daily Dividend Option,10.0048
2013-02-24,100201,ING Liquid Fund-Super Institutional Weekly Dividend Option,10.0151
2013-02-24,100233,JM Liquid Fund (Regular) - Weekly IDCW,11.0159
2013-02-24,100234,JM Liquid Fund - Growth Option,31.7125
2013-02-24,100237,JM High Liquidity Fund-- Institutional Plan - Growth,19.1576
2013-02-24,100238,JM High Liquidity Fund-Institutional Plan - Daily Dividend,10.0159
2013-02-24,100241,JM High Liquidity Fund-- Institutional Plan - Dividend,10.768
2013-02-24,100244,JM Liquid Fund (Regular) - Quarterly IDCW,17.9495
2013-02-24,100245,JM High Liquidity Fund-Super Institutional Plan- Daily Dividend,10.0165
2013-02-24,100246,JM High Liquidity Fund-Super Institutional Plan- Weekly  Dividend,10.1617
2013-02-24,100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,18.2385
2013-02-24,100357,ICICI Prudential Liquid Fund -Quarterly IDCW,101.5759
2013-02-24,100359,ICICI Prudential Liquid Institutional Plus Fund - Div - Daily,118.515
2013-02-24,100360,ICICI Prudential Liquid Institutional Plus Fund - Div - Weekly,118.7322
2013-02-24,100362,ICICI Prudential Liquid Institutional Plus Fund - Growth,284.9456
2013-02-24,100537,Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,1244.3238
2013-02-24,100538,Franklin India Liquid Fund - Regular Plan - Growth,2823.0586
2013-02-24,100541,Franklin India Liquid Fund - Regular Plan - Daily - IDCW,1512.34
2013-02-24,100546,Franklin India Liquid Fund - Super Institutional Plan - Growth,1731.354
2013-02-24,100547,Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW,1000.673
2013-02-24,100548,Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,1021.1243
2013-02-24,100618,Sundaram Money Fund Retail Plan - Growth,22.9188
2013-02-24,100619,Sundaram Money Fund Retail Plan - Quarterly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),12.8256
2013-02-24,100620,Sundaram Money Fund Retail Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.0953
